NOM_ENT,2012
Aguascalientes,30
Baja California,37.5
Baja California Sur,43
Campeche,42
Chiapas,24
Chihuahua,31.5
Ciudad de México,32.5
Coahuila de Zaragoza,35.4
Colima,34.5
Durango,33
Guanajuato,30.8
Guerrero,27
Hidalgo,27.8
Jalisco,32
México,26.5
Michoacán de Ocampo,30.1
Morelos,29.7
Nayarit,31
Nuevo León,38
Oaxaca,25
Puebla,30.5
Querétaro,23
Quintana Roo,35.2
San Luis Potosí,28
Sinaloa,31.8
Sonora,35
Tabasco,41
Tamaulipas,35.5
Tlaxcala,29.8
Veracruz de Ignacio de la Llave,30.2
Yucatán,44
Zacatecas,29
