"","Id","Nombre","Razon_social","Clase_actividad","Estrato","Tipo_vialidad","Calle","Num_Exterior","Num_Interior","Colonia","CP","Ubicacion","Telefono","Correo_e","Sitio_internet","Tipo","Longitud","Latitud","tipo_corredor_industrial","nom_corredor_industrial","numero_local"
"2","55770","110 SENSACION","SENBIS SA DE CV","Comercio al por menor de ropa, excepto de bebé y lencería","0 a 5 personas","AVENIDA","PASEO MORELOS","71","","ROMERO","21410","TECATE, Tecate, BAJA CALIFORNIA","","","","Fijo","-116.63444610","32.57289858","","",""
"21000","8677668","2330 NOUTLET BOUTIQUE","","Comercio al por menor de ropa, excepto de bebé y lencería","0 a 5 personas","AVENIDA","RIO PANUCO","2330","","REVOLUCION","22015","TIJUANA, Tijuana, BAJA CALIFORNIA","","","","Fijo","-117.01976250","32.52088156","","",""
"3","6286052","3078 MILANO","MILANO OPERADORA SA DE CV","Comercio al por menor de ropa, excepto de bebé y lencería","11 a 30 personas","AVENIDA","AVENIDA DE LA REFORMA","451","0","PRIMERA SECCION","21000","MEXICALI, Mexicali, BAJA CALIFORNIA","","","","Fijo","-115.49044060","32.66293806","","",""
"4","6703582","3086 MILANO","MILANO OPERADORA SA DE CV","Comercio al por menor de ropa, excepto de bebé y lencería","6 a 10 personas","CALLE","BENITO JUÁREZ","82","0","MACHADO DEL ROSARITO CENTRO","22710","PLAYAS DE ROSARITO, Playas de Rosarito, BAJA CALIFORNIA","","","WWW.MILANO.COM","Fijo","-117.05965473","32.35154402","","",""
"5","6286754","3323 MILANO","MILANO OPERADORA SA DE CV","Comercio al por menor de ropa, excepto de bebé y lencería","11 a 30 personas","AVENIDA","NIÑOS HÉROES (B)","859","0","ZONA CENTRO","22000","TIJUANA, Tijuana, BAJA CALIFORNIA","","","WWW.MILANO.COM","Fijo","-117.04012417","32.53406694","","",""
"6","6286755","3329 MILANO","MILANO OPERADORA SA DE CV","Comercio al por menor de ropa, excepto de bebé y lencería","11 a 30 personas","AVENIDA","MIRAMAR","542","0","ZONA CENTRO","22800","ENSENADA, Ensenada, BAJA CALIFORNIA","","","WWW.MILANO.COM","Fijo","-116.62305812","31.86705769","","",""
"7","6283637","3355 MILANO","MILANO OPERADORA SA DE CV","Comercio al por menor de ropa, excepto de bebé y lencería","11 a 30 personas","BOULEVARD","DIAZ ORDAZ","270","0","CONTRERAS","22460","TIJUANA, Tijuana, BAJA CALIFORNIA","","","WWW.MILANO.COM","Fijo","-116.96821023","32.49972571","","",""
"8","6283613","3377 MILANO","MILANO OPERADORA SA DE CV","Comercio al por menor de ropa, excepto de bebé y lencería","11 a 30 personas","AVENIDA","CONSTITUCIÓN","937","0","ZONA CENTRO","22000","TIJUANA, Tijuana, BAJA CALIFORNIA","","","WWW.MILANO.COM","Fijo","-117.03847525","32.53352705","","",""
"9","6287140","3412 MILANO","MILANO OPERADORA SA DE CV","Comercio al por menor de ropa, excepto de bebé y lencería","11 a 30 personas","AVENIDA","PASEO MORELOS","70","","CENTRO","21400","TECATE, Tecate, BAJA CALIFORNIA","","","WWW.MILANO.COM","Fijo","-116.63109804","32.57317763","","",""
"10","7812454","4 ELEMENTOS BOUTIQUE","","Comercio al por menor de ropa, excepto de bebé y lencería","0 a 5 personas","AVENIDA","RIVEROLL","888","","ZONA CENTRO","22800","ENSENADA, Ensenada, BAJA CALIFORNIA","3310928877","","","Fijo","-116.62002023","31.87026927","","",""
