"","UUID.Municipio","Clave.Estado","Entidad.federativa","Clave.Municipio","Nombre.Municipio","Estimador","Porcentaje.obesidad"
"1943","26054","26","Sonora","054","San Javier","Valor",79.541
"38","05006","05","Coahuila de Zaragoza","006","Castaños","Valor",66.9743
"1910","26021","26","Sonora","021","La Colorada","Valor",65.6808
"1911","26022","26","Sonora","022","Cucurpe","Valor",60.8561
"1933","26044","26","Sonora","044","Onavas","Valor",58.6237
"1804","23001","23","Quintana Roo","001","Cozumel","Valor",58.5312
"1953","26064","26","Sonora","064","Trincheras","Valor",58.3866
"1945","26056","26","Sonora","056","San Miguel de Horcasitas","Valor",58.123
"1926","26037","26","Sonora","037","Mazatán","Valor",57.7928
"13","02002","02","Baja California","002","Mexicali","Valor",57.7821
"17","03001","03","Baja California Sur","001","Comondú","Valor",57.6651
"1812","23009","23","Quintana Roo","009","Tulum","Valor",57.6465
"213","08015","08","Chihuahua","015","Coyame del Sotol","Valor",57.5291
"202","08004","08","Chihuahua","004","Aquiles Serdán","Valor",57.1123
"1806","23003","23","Quintana Roo","003","Isla Mujeres","Valor",56.8242
"1811","23008","23","Quintana Roo","008","Solidaridad","Valor",56.2205
"1957","26068","26","Sonora","068","Villa Pesqueira","Valor",56.1446
"14","02003","02","Baja California","003","Tecate","Valor",56.1294
"1951","26062","26","Sonora","062","Suaqui Grande","Valor",55.4706
"1808","23005","23","Quintana Roo","005","Benito Juárez","Valor",55.1591
"2376","31083","31","Yucatán","083","Telchac Puerto","Valor",54.7196
"1950","26061","26","Sonora","061","Soyopa","Valor",54.6025
"1938","26049","26","Sonora","049","Quiriego","Valor",54.1498
"1897","26008","26","Sonora","008","Bacadéhuachi","Valor",53.46
"1909","26020","26","Sonora","020","Carbó","Valor",53.3971
"2358","31065","31","Yucatán","065","San Felipe","Valor",53.1609
"1986","28008","28","Tamaulipas","008","Casas","Valor",53.0918
"1809","23006","23","Quintana Roo","006","José María Morelos","Valor",53.0794
"2354","31061","31","Yucatán","061","Río Lagartos","Valor",52.8333
"1965","27004","27","Tabasco","004","Centro","Valor",52.6914
"44","05012","05","Coahuila de Zaragoza","012","Guerrero","Valor",52.3982
"2321","31028","31","Yucatán","028","Dzilam de Bravo","Valor",52.3085
"922","17028","17","Morelos","028","Xochitepec","Valor",51.9669
"1991","28013","28","Tamaulipas","013","Güémez","Valor",51.9158
"1992","28014","28","Tamaulipas","014","Guerrero","Valor",51.8965
"1929","26040","26","Sonora","040","Nácori Chico","Valor",51.8885
"1946","26057","26","Sonora","057","San Pedro de la Cueva","Valor",51.8129
"803","16022","16","Michoacán de Ocampo","022","Charo","Valor",51.7098
"107","07027","07","Chiapas","027","Chiapa de Corzo","Valor",51.6477
"2001","28023","28","Tamaulipas","023","Méndez","Valor",51.5921
"1939","26050","26","Sonora","050","Rayón","Valor",51.582
"1934","26045","26","Sonora","045","Opodepe","Valor",51.3799
"2006","28028","28","Tamaulipas","028","Nuevo Morelos","Valor",51.2786
"1961","26072","26","Sonora","072","San Ignacio Río Muerto","Valor",51.2309
"1904","26015","26","Sonora","015","Bavispe","Valor",51.1477
"1956","26067","26","Sonora","067","Villa Hidalgo","Valor",51.0616
"77","06007","06","Colima","007","Manzanillo","Valor",50.9724
"32","04011","04","Campeche","011","Candelaria","Valor",50.9553
"1899","26010","26","Sonora","010","Bacerac","Valor",50.9288
"21","03009","03","Baja California Sur","009","Loreto","Valor",50.866
"937","18010","18","Nayarit","010","Rosamorada","Valor",50.6923
"2361","31068","31","Yucatán","068","Sinanché","Valor",50.5672
"1916","26027","26","Sonora","027","Fronteras","Valor",50.5248
"2304","31011","31","Yucatán","011","Celestún","Valor",50.3928
"24","04003","04","Campeche","003","Carmen","Valor",50.3295
"1983","28005","28","Tamaulipas","005","Burgos","Valor",50.3184
"2313","31020","31","Yucatán","020","Chicxulub Pueblo","Valor",50.2982
"1952","26063","26","Sonora","063","Tepache","Valor",50.1871
"12","02001","02","Baja California","001","Ensenada","Valor",50.1737
"1949","26060","26","Sonora","060","Sáric","Valor",50.125
"1880","25009","25","Sinaloa","009","Escuinapa","Valor",50.0561
"1936","26047","26","Sonora","047","Pitiquito","Valor",49.9584
"939","18012","18","Nayarit","012","San Blas","Valor",49.8861
"2233","30152","30","Veracruz de Ignacio de la Llave","152","Tampico Alto","Valor",49.8807
"16","02005","02","Baja California","005","Playas de Rosarito","Valor",49.8738
"1954","26065","26","Sonora","065","Tubutama","Valor",49.7972
"1919","26030","26","Sonora","030","Hermosillo","Valor",49.728
"1994","28016","28","Tamaulipas","016","Hidalgo","Valor",49.7182
"1993","28015","28","Tamaulipas","015","Gustavo Díaz Ordaz","Valor",49.5906
"2360","31067","31","Yucatán","067","Seyé","Valor",49.3017
"2343","31050","31","Yucatán","050","Mérida","Valor",49.2487
"1964","27003","27","Tabasco","003","Centla","Valor",49.2382
"1895","26006","26","Sonora","006","Arizpe","Valor",49.1883
"2322","31029","31","Yucatán","029","Dzilam González","Valor",49.1251
"1955","26066","26","Sonora","066","Ures","Valor",49.0155
"1937","26048","26","Sonora","048","Puerto Peñasco","Valor",48.8833
"951","19004","19","Nuevo León","004","Allende","Valor",48.7273
"1906","26017","26","Sonora","017","Caborca","Valor",48.7156
"2395","31102","31","Yucatán","102","Valladolid","Valor",48.7033
"1810","23007","23","Quintana Roo","007","Lázaro Cárdenas","Valor",48.6588
"1896","26007","26","Sonora","007","Atil","Valor",48.6009
"2294","31001","31","Yucatán","001","Abalá","Valor",48.5899
"2011","28033","28","Tamaulipas","033","Río Bravo","Valor",48.5378
"1807","23004","23","Quintana Roo","004","Othón P. Blanco","Valor",48.506
"1892","26003","26","Sonora","003","Alamos","Valor",48.4622
"19","03003","03","Baja California Sur","003","La Paz","Valor",48.4505
"1890","26001","26","Sonora","001","Aconchi","Valor",48.3317
"233","08035","08","Chihuahua","035","Janos","Valor",48.2952
"2015","28037","28","Tamaulipas","037","Soto la Marina","Valor",48.2869
"965","19018","19","Nuevo León","018","García","Valor",48.2803
"1948","26059","26","Sonora","059","Santa Cruz","Valor",48.2771
"997","19050","19","Nuevo León","050","Vallecillo","Valor",48.2551
"15","02004","02","Baja California","004","Tijuana","Valor",48.2478
"1921","26032","26","Sonora","032","Huásabas","Valor",48.2155
"1985","28007","28","Tamaulipas","007","Camargo","Valor",48.1615
"1944","26055","26","Sonora","055","San Luis Río Colorado","Valor",48.1336
"488","13041","13","Hidalgo","041","Mixquiahuala de Juárez","Valor",48.0765
"2355","31062","31","Yucatán","062","Sacalum","Valor",48.0474
"252","08054","08","Chihuahua","054","Riva Palacio","Valor",47.9402
"1989","28011","28","Tamaulipas","011","Gómez Farías","Valor",47.8379
"2306","31013","31","Yucatán","013","Conkal","Valor",47.834
"2399","31106","31","Yucatán","106","Yobaín","Valor",47.8237
"1917","26028","26","Sonora","028","Granados","Valor",47.6898
"247","08049","08","Chihuahua","049","Nonoava","Valor",47.6454
"1902","26013","26","Sonora","013","Banámichi","Valor",47.5115
"216","08018","08","Chihuahua","018","Cusihuiriachi","Valor",47.5093
