"Year","Quarter ID","Quarter","Nation ID","Nation","State ID","State","Trade Value","Time"
2006,20061,"2006-Q1","mex","México",1,"Aguascalientes",55659913,1138773600000
2006,20061,"2006-Q1","mex","México",2,"Baja California",24923035,1138773600000
2006,20061,"2006-Q1","mex","México",4,"Campeche",56138002,1138773600000
2006,20061,"2006-Q1","mex","México",5,"Coahuila de Zaragoza",218579658,1138773600000
2006,20061,"2006-Q1","mex","México",8,"Chihuahua",138400834,1138773600000
2006,20061,"2006-Q1","mex","México",9,"Ciudad de México",239382950,1138773600000
2006,20061,"2006-Q1","mex","México",10,"Durango",29804202,1138773600000
2006,20061,"2006-Q1","mex","México",11,"Guanajuato",94059028,1138773600000
2006,20061,"2006-Q1","mex","México",13,"Hidalgo",16332622,1138773600000
2006,20061,"2006-Q1","mex","México",14,"Jalisco",45079476,1138773600000
2006,20061,"2006-Q1","mex","México",15,"Estado de México",84951140,1138773600000
2006,20061,"2006-Q1","mex","México",16,"Michoacán de Ocampo",522892,1138773600000
2006,20061,"2006-Q1","mex","México",17,"Morelos",3942547,1138773600000
2006,20061,"2006-Q1","mex","México",19,"Nuevo León",87298117,1138773600000
2006,20061,"2006-Q1","mex","México",20,"Oaxaca",32369,1138773600000
2006,20061,"2006-Q1","mex","México",21,"Puebla",149554097,1138773600000
2006,20061,"2006-Q1","mex","México",22,"Querétaro",34732848,1138773600000
2006,20061,"2006-Q1","mex","México",23,"Quintana Roo",715334,1138773600000
2006,20061,"2006-Q1","mex","México",24,"San Luis Potosí",28006558,1138773600000
2006,20061,"2006-Q1","mex","México",25,"Sinaloa",2905418,1138773600000
2006,20061,"2006-Q1","mex","México",26,"Sonora",102894831,1138773600000
2006,20061,"2006-Q1","mex","México",28,"Tamaulipas",94127896,1138773600000
2006,20061,"2006-Q1","mex","México",29,"Tlaxcala",49399026,1138773600000
2006,20061,"2006-Q1","mex","México",30,"Veracruz de Ignacio de la Llave",7474603,1138773600000
2006,20061,"2006-Q1","mex","México",31,"Yucatán",142980124,1138773600000
2006,20062,"2006-Q2","mex","México",1,"Aguascalientes",72415089,1146459600000
2006,20062,"2006-Q2","mex","México",2,"Baja California",29830947,1146459600000
2006,20062,"2006-Q2","mex","México",4,"Campeche",65678426,1146459600000
2006,20062,"2006-Q2","mex","México",5,"Coahuila de Zaragoza",248369789,1146459600000
2006,20062,"2006-Q2","mex","México",8,"Chihuahua",123461823,1146459600000
2006,20062,"2006-Q2","mex","México",9,"Ciudad de México",226931501,1146459600000
2006,20062,"2006-Q2","mex","México",10,"Durango",55986531,1146459600000
2006,20062,"2006-Q2","mex","México",11,"Guanajuato",104276302,1146459600000
2006,20062,"2006-Q2","mex","México",13,"Hidalgo",13491326,1146459600000
2006,20062,"2006-Q2","mex","México",14,"Jalisco",46140944,1146459600000
2006,20062,"2006-Q2","mex","México",15,"Estado de México",93146174,1146459600000
2006,20062,"2006-Q2","mex","México",16,"Michoacán de Ocampo",494236,1146459600000
2006,20062,"2006-Q2","mex","México",17,"Morelos",6460952,1146459600000
2006,20062,"2006-Q2","mex","México",19,"Nuevo León",99471537,1146459600000
2006,20062,"2006-Q2","mex","México",21,"Puebla",184757181,1146459600000
2006,20062,"2006-Q2","mex","México",22,"Querétaro",28900386,1146459600000
2006,20062,"2006-Q2","mex","México",23,"Quintana Roo",648217,1146459600000
2006,20062,"2006-Q2","mex","México",24,"San Luis Potosí",32976768,1146459600000
2006,20062,"2006-Q2","mex","México",25,"Sinaloa",2063441,1146459600000
2006,20062,"2006-Q2","mex","México",26,"Sonora",120183669,1146459600000
2006,20062,"2006-Q2","mex","México",28,"Tamaulipas",86389354,1146459600000
2006,20062,"2006-Q2","mex","México",29,"Tlaxcala",47740367,1146459600000
2006,20062,"2006-Q2","mex","México",30,"Veracruz de Ignacio de la Llave",6645628,1146459600000
2006,20062,"2006-Q2","mex","México",31,"Yucatán",145713498,1146459600000
2006,20063,"2006-Q3","mex","México",1,"Aguascalientes",79260990,1154408400000
2006,20063,"2006-Q3","mex","México",2,"Baja California",20246769,1154408400000
2006,20063,"2006-Q3","mex","México",4,"Campeche",64338466,1154408400000
2006,20063,"2006-Q3","mex","México",5,"Coahuila de Zaragoza",260737331,1154408400000
2006,20063,"2006-Q3","mex","México",8,"Chihuahua",128609896,1154408400000
2006,20063,"2006-Q3","mex","México",9,"Ciudad de México",165242128,1154408400000
2006,20063,"2006-Q3","mex","México",10,"Durango",5986440,1154408400000
2006,20063,"2006-Q3","mex","México",11,"Guanajuato",115387296,1154408400000
2006,20063,"2006-Q3","mex","México",13,"Hidalgo",11262422,1154408400000
2006,20063,"2006-Q3","mex","México",14,"Jalisco",48786700,1154408400000
2006,20063,"2006-Q3","mex","México",15,"Estado de México",88470789,1154408400000
2006,20063,"2006-Q3","mex","México",16,"Michoacán de Ocampo",1041108,1154408400000
2006,20063,"2006-Q3","mex","México",17,"Morelos",6349932,1154408400000
2006,20063,"2006-Q3","mex","México",19,"Nuevo León",98043634,1154408400000
2006,20063,"2006-Q3","mex","México",21,"Puebla",200628509,1154408400000
2006,20063,"2006-Q3","mex","México",22,"Querétaro",51639528,1154408400000
2006,20063,"2006-Q3","mex","México",23,"Quintana Roo",367371,1154408400000
2006,20063,"2006-Q3","mex","México",24,"San Luis Potosí",26607209,1154408400000
2006,20063,"2006-Q3","mex","México",26,"Sonora",118611644,1154408400000
2006,20063,"2006-Q3","mex","México",28,"Tamaulipas",69337633,1154408400000
2006,20063,"2006-Q3","mex","México",29,"Tlaxcala",37234739,1154408400000
2006,20063,"2006-Q3","mex","México",30,"Veracruz de Ignacio de la Llave",3778480,1154408400000
2006,20063,"2006-Q3","mex","México",31,"Yucatán",157801364,1154408400000
2006,20063,"2006-Q3","mex","México",32,"Zacatecas",4269968,1154408400000
2006,20064,"2006-Q4","mex","México",1,"Aguascalientes",58308122,1162360800000
2006,20064,"2006-Q4","mex","México",2,"Baja California",37977032,1162360800000
2006,20064,"2006-Q4","mex","México",4,"Campeche",57593609,1162360800000
2006,20064,"2006-Q4","mex","México",5,"Coahuila de Zaragoza",245862201,1162360800000
2006,20064,"2006-Q4","mex","México",8,"Chihuahua",118814312,1162360800000
2006,20064,"2006-Q4","mex","México",9,"Ciudad de México",122102261,1162360800000
2006,20064,"2006-Q4","mex","México",10,"Durango",51637854,1162360800000
2006,20064,"2006-Q4","mex","México",11,"Guanajuato",99042638,1162360800000
2006,20064,"2006-Q4","mex","México",12,"Guerrero",1506,1162360800000
2006,20064,"2006-Q4","mex","México",13,"Hidalgo",11038478,1162360800000
2006,20064,"2006-Q4","mex","México",14,"Jalisco",47645169,1162360800000
2006,20064,"2006-Q4","mex","México",15,"Estado de México",83024317,1162360800000
2006,20064,"2006-Q4","mex","México",16,"Michoacán de Ocampo",807975,1162360800000
2006,20064,"2006-Q4","mex","México",17,"Morelos",4922529,1162360800000
2006,20064,"2006-Q4","mex","México",19,"Nuevo León",70327653,1162360800000
2006,20064,"2006-Q4","mex","México",21,"Puebla",145880390,1162360800000
2006,20064,"2006-Q4","mex","México",22,"Querétaro",41231601,1162360800000
2006,20064,"2006-Q4","mex","México",23,"Quintana Roo",455730,1162360800000
2006,20064,"2006-Q4","mex","México",24,"San Luis Potosí",23609489,1162360800000
2006,20064,"2006-Q4","mex","México",26,"Sonora",105593144,1162360800000
2006,20064,"2006-Q4","mex","México",28,"Tamaulipas",61185411,1162360800000
2006,20064,"2006-Q4","mex","México",29,"Tlaxcala",37219199,1162360800000
2006,20064,"2006-Q4","mex","México",30,"Veracruz de Ignacio de la Llave",1476326,1162360800000
2006,20064,"2006-Q4","mex","México",31,"Yucatán",140102643,1162360800000
2007,20071,"2007-Q1","mex","México",1,"Aguascalientes",45219380,1170309600000
2007,20071,"2007-Q1","mex","México",2,"Baja California",28163874,1170309600000
2007,20071,"2007-Q1","mex","México",4,"Campeche",45923122,1170309600000
2007,20071,"2007-Q1","mex","México",5,"Coahuila de Zaragoza",190713532,1170309600000
2007,20071,"2007-Q1","mex","México",8,"Chihuahua",114560897,1170309600000
2007,20071,"2007-Q1","mex","México",9,"Ciudad de México",112508477,1170309600000
2007,20071,"2007-Q1","mex","México",11,"Guanajuato",80690037,1170309600000
2007,20071,"2007-Q1","mex","México",12,"Guerrero",3321317,1170309600000
2007,20071,"2007-Q1","mex","México",13,"Hidalgo",10546202,1170309600000
2007,20071,"2007-Q1","mex","México",14,"Jalisco",47019352,1170309600000
2007,20071,"2007-Q1","mex","México",15,"Estado de México",72820262,1170309600000
